Activity_1-6709           | [000] | 1354.515380  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.515382  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.515418  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.521746  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.521749  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.521830  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.522232  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.522234  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.522270  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.522477  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.522479  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.522517  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.522770  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.522771  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.522808  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.522880  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.522881  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
irq/171-rtw88_p-603       | [000] | 1354.522943  | sched_switch    | irq/171-rtw88_p:603 [49] S ==> Activity_1:6709 [98] 
Activity_1-6709           | [000] | 1354.523162  | sched_wakeup    | irq/171-rtw88_p:603 [49] CPU:000 
Activity_1-6709           | [000] | 1354.523163  | sched_switch    | Activity_1:6709 [98] R ==> irq/171-rtw88_p:603 [49] 
