Activity_1-22836          | [000] | 81543.062644 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81543.062934 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81543.164703 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81543.164705 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81543.164981 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
<idle>-0                  | [001] | 81543.256931 | sched_wakeup    | Activity_2:22837 [80] CPU:001 
<idle>-0                  | [001] | 81543.256934 | sched_switch    | swapper/1:0 [120] R ==> Activity_2:22837 [80] 
Activity_1-22836          | [000] | 81543.266861 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81543.266862 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81543.267153 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81543.369281 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81543.369283 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81543.369572 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81543.370590 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81543.370591 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81543.370847 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81543.471685 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81543.471687 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81543.471975 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81543.473427 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
